dialect,standard,region
천지삐까리다,아주많다,경상도
철개이,잠자리,경상도
철갱이,잠자리,경상도
첨방,도랑,경상도
춤,침,경상도
춥워라,추워라,경상도
치아라,치워라,경상도
칠기,칡,경상도
카다,하다,경상도
캉,와,경상도
코딱재이,코딱지,경상도
태왁,해녀용박,경상도
털이,털,경상도
토깨이,토끼,경상도
통빼이,소죽바가지,경상도
통바가치,소죽바가지,경상도
파래이,파리,경상도
파랭이,파리,경상도
판보떼요,가위바위보,경상도
팔랑개비,바람개비,경상도
패다,때리다,경상도
팽데이,팽이,경상도
퍼떡,빨리,경상도
퍼뜩,얼른,경상도
포시랍다,까다롭다,경상도
폿떼기,딱지,경상도
풍무지리고앉다,차분히앉다,경상도
핀달이,편,경상도
하,서쪽,경상도
하겠습니데이,하겠습니다,경상도
하늬바람,서풍,경상도
하답답어,궁여지책으로,경상도
하모,당연하다,경상도
하이더,하네요,경상도
하이소,하세요,경상도
학상,학생,경상도
한금,많이,경상도
한대,밖에,경상도
할라꼬,하려고,경상도
할매,할머니,경상도
할무이,할머니,경상도
할마씨,할머니,경상도
할배,할아버지,경상도
할아부지,할아버지,경상도
할배이껴,할아버지오셨습니까,경상도
합자,홍합,경상도
항거,가득,경상도
항깨,하니까,경상도
해글어쌌다,버릇하다,경상도
해깝다,가볍다,경상도
해깝하이더,가볍네요,경상도
해꼽다,가볍다,경상도
해여,한다,경상도
핵교,학교,경상도
했니껴,했습니까,경상도
했니더,했습니다,경상도
허북지,허벅지,경상도
허새비,허수아비,경상도
헌친다,흩뿌린다,경상도
헤루질,불빛잡이,경상도
헹님,형님,경상도
호래이,호랑이,경상도
호로라기,호루라기,경상도
호그라기,호루라기,경상도
호메이,호미,경상도
혹깐,간혹,경상도
혹뿔,혹,경상도
홀개이,올가미,경상도
홀갱이,올가미,경상도
홀깨이,올가미,경상도
홀치,쟁기,경상도
홍굴래,방아깨비암컷,경상도
후재,뒷날,경상도
후지박다,윽박지르다,경상도
후지치다,내쫓다,경상도
훈에끼다,힘에부치다,경상도
훌빈하다,텅비다,경상도
훌치다,훑다,경상도
훌치이,탈곡기,경상도
히야,형,경상도
희한하다,절묘하다,경상도
가끈히,친절히,경상도
가대기,가닥,경상도
가분대,가운데,경상도
가리매,가르마,경상도
가라,가라,경상도
간다,간다,경상도
가여,간다,경상도
와이카노,왜그러냐,경상도
우야노,어떻게하냐,경상도
우짜노,어떻게하냐,경상도
우예하노,어떻게하니,경상도
뭐하노,뭐하니,경상도
가삐라,가버려라,경상도
내삐리다,내버리다,경상도
뿌라,버려,경상도
뿌다,버리다,경상도
삐지다,토라지다,경상도
비다,베다,경상도
지집다,찢다,경상도
뒤비다,뒤집다,경상도
먹어라,먹어라,경상도
먹어예,먹는다,경상도
자빠지다,넘어지다,경상도
우지다,울다,경상도
앵기다,매달리다,경상도
따하다,이기다,경상도
허다,하다,경상도
카다,하다,경상도
캤다,했다,경상도
해뿌다,해버리다,경상도
헤여,한다,경상도
하이소,하세요,경상도
봤나,봤냐,경상도
모리다,모르다,경상도
안다,앉다,경상도
우구리다,접다,경상도
일어난다,일어난다,경상도
재우다,재우다,경상도
잔다,잔다,경상도
깨뿐다,깨버리다,경상도
닦아라,닦아라,경상도
앉아라,앉아라,경상도
서라,서라,경상도
보이소,보세요,경상도
보소,보세요,경상도
보라,봐라,경상도
지나가삐라,지나가버려라,경상도
막카,다해라,경상도
막해라,다해라,경상도
까불지마라,장난치지마라,경상도
심심하이,심심하네,경상도
퍼뜩온나,빨리와라,경상도
덜덜맸다,매우바쁘다,경상도
디게바쁘다,엄청바쁘다,경상도
달달볶는다,졸라댄다,경상도
고만해라,그만해라,경상도
주라,줘라,경상도
줘예,줘요,경상도
잡아뿌라,잡아버려,경상도
놓치뿌라,놓쳐버려,경상도
맞아삐라,맞아버려,경상도
들었다아이가,들었잖아,경상도
했니더,했습니다,경상도
했니껴,했습니까,경상도
뭐했노,뭐했냐,경상도
우짤꼬,어떡하지,경상도
우짤끼고,어떡할거냐,경상도
우야꼬,어찌할꼬,경상도
갈끼다,갈거다,경상도
묵자,먹자,경상도
하자,하자,경상도
자자,자자,경상도
놀자,놀자,경상도
치아라,치워라,경상도
깨라,깨라,경상도
옮기라,옮겨라,경상도
퍼라,퍼라,경상도
